	astro|GSM1901309|8yo_ctx	astro|GSM1901310|13yo_ctx	astro|GSM1901314|35yo_ctx	astro|GSM1901317|53yo_ctx	myeloid|GSM1901339|45yo_ctx	myeloid|GSM1901340|51yo_ctx	myeloid|GSM1901341|63_yo_ctx	oligo|GSM1901334|22yo_ctx	oligo|GSM1901335|63yo_ctx_A	oligo|GSM1901337|47yo_ctx	dopamine|GSM2027430|VTA	dopamine|GSM2027431|VTA	dopamine|GSM2027423|SNc	motor|88_Control_GSM1977034	motor|GSM2027414|spinal	motor|Spinal_motor_neuron_control_rep5_GSM3615504
ENSG00000006047.13	0.43	0	1.09	0.13	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.17	0.51	0.93	0.88	0.44	0	0.68	1.15	0	0.15	0	1	0	0	11.53	0	2.24
ENSG00000006071.14	10.1	13.69	27.17	8.6	0	0	0.59	3.19	0.17	0.28	16	72	91	98	33	40
ENSG00000006116.3	0.09	0.11	0.1	0.37	0	0	0.35	0.2	0.16	0.14	28	65	40	30	8	1
ENSG00000006118.14	22.46	7.81	22.78	3.93	0.74	0.98	1.62	0.31	0	0.11	54	130	188	14	92	9
ENSG00000006125.18	71.11	65.81	81.06	61.92	77.69	43.24	42.23	32.21	31.08	37.5	172	466	329	3293	62	129
ENSG00000006128.12	0	0	0	0	0	0	0	0	0.58	0	83	333	47	3	0	7
ENSG00000006194.10	10.81	9.01	10.64	10.8	9.43	4.36	4.58	5.14	5.16	4.04	18	8	38.25	30	5	5
ENSG00000006210.7	3.12	1.89	3.4	2.08	0	0.28	0	0.18	0.15	0.4	61	245	106	43	22	17
ENSG00000006282.21	12.22	8.62	12.83	5.61	0.79	2.64	4.8	0.24	0.44	0.6	94	259	373.42	43	7	13
ENSG00000006283.18	0.2	0	0.06	0.3	0	0.02	0	0.53	0	0.43	33.79	150.85	396.62	46.61	57.15	52
ENSG00000006327.13	0	0	0	0	0	3.02	9.1	0.83	0	0.6	2	9	15	3	25	33
ENSG00000006377.11	0	0	0	0.13	0	0	0	0	0	0.58	0	0	0	0	0	0
ENSG00000006432.15	0.44	0.44	0.63	0.48	3.61	0.4	0.73	0.33	0.07	0.37	216	544	668	999	148	115
ENSG00000006451.8	6.56	11.45	13.26	11.39	6.43	3.09	4.5	6.77	15.32	16.7	147	369	329.76	526.52	137	84
ENSG00000006453.14	0	0.32	1.25	0	14.3	4.21	6.36	1.31	0.22	0	0	0	0	1	0	0
ENSG00000006459.11	4.8	4.01	6.62	3.91	27.96	8.44	14.46	3.2	3.26	3.07	7	20	47	697	33	38
ENSG00000006468.14	108.37	149.7	169.03	103.86	15.72	8	11.64	36.48	5.66	98.53	1	0	1	23	1	0
ENSG00000006530.18	24.7	25.01	29.76	26.6	16.2	16.99	13.97	17.3	11.17	11.71	61	127	178.06	259	23	6
ENSG00000006534.16	2.29	2	4.02	1.02	0.36	4.09	2.08	0.43	0.92	0.16	0	2	4	7	0	0
ENSG00000006555.11	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1
ENSG00000006576.16	3.34	6.16	3.49	19.61	17.83	8.89	8.24	6.41	5.97	7.36	6	25	30	577	38	6
ENSG00000006606.8	0	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0
ENSG00000006607.14	7.75	11.26	21.36	14.94	32.61	18.51	13.99	20.7	20.86	29.23	12.28	71.13	72.55	35.57	20.57	1.83
ENSG00000006611.16	5.45	1.12	0.86	2.63	0	0	0	1.52	6.21	0.55	4	0	3	0	0	0
ENSG00000006625.18	5.74	12.8	9.3	8.09	11.69	5.08	7.15	2.35	2.83	0	43	55	77	171	16	4
ENSG00000006634.8	0.67	1.09	1.33	2.21	4.22	3.23	1.53	0.53	0.97	1.06	2	7	7	37.08	0	0
ENSG00000006638.11	0	0	0	0	0	0	0	0	0.09	0	5	1	0	9	26	9
ENSG00000006652.14	30.1	24.07	122.8	51.61	246.12	88.71	141.9	14.27	36.06	22.16	40	35	79	43	6	7
ENSG00000006659.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.12	4.89	2.86	3.55	1.91	1.07	1.54	2.68	1.26	1.36	1.86	15	64	48	69.05	11	14
ENSG00000006704.10	9.4	6.56	17.67	7.05	0	9.23	7.64	2.35	0.73	1.88	31	39	37	19	9	49
ENSG00000006712.15	8.88	9.93	17	8.59	7.01	8.14	7.43	3.5	10.78	4.31	35.02	20.09	37.29	227	14	8
ENSG00000006715.16	53.3	63.73	76.28	100.82	62.71	56.14	47.41	55.92	33.15	31.77	193	327	338	460	24	53
ENSG00000006740.17	1.54	1.3	5.12	3.05	0	0.12	0.26	0.43	0.96	0.3	70	180	210	398.6	28	17
ENSG00000006744.19	24.14	10.19	8.67	7.22	2.94	6.48	5.18	2.6	1.55	3.81	44	117	174	82	38	54
ENSG00000006747.15	0.51	0.16	0.37	1.32	124.93	110.66	57.56	18.93	4.34	3.51	0	0	0	7	0	0
ENSG00000006756.16	8.89	6.82	10.73	6.19	3.24	6.32	2.87	3.01	0.94	1.69	6	51.31	50.13	142.01	4	24.31
ENSG00000006757.12	9.34	3.84	8.36	5.68	2.22	0.74	0.51	1.24	0.89	1.04	41	26	32	26	0	0
ENSG00000006788.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831.10	9.73	15.08	12.76	13.75	27.76	15.13	16.69	28.89	43.46	23.97	28	78	112	24	12	0
ENSG00000006837.12	12.57	6.89	14.3	10.26	0	0	0.89	0.29	7.04	0.56	10	15	14.06	11.2	3	2
ENSG00000007001.12	0.75	0.46	4.29	2.25	0	0.21	0	0.88	0	0	0	0	0	1	0	0
ENSG00000007038.11	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0
ENSG00000007047.15	5.52	1.89	6.23	4.95	0.51	0.89	1.44	0.95	1.14	1.99	55	130	245	81	3.09	4
ENSG00000007062.11	0	0.04	0.15	0.58	0	0	0.57	2.24	0.39	4.32	0	0	0	11	3	4
ENSG00000007080.11	0.66	0	0	0	0	0	0.25	0	0	0	61	194	212	2	32	21
ENSG00000007129.18	0.23	0	0	0.44	1.72	3.92	2.93	0.51	0.3	0	47	107	116	7	4	0
ENSG00000007168.13	117.42	158.71	213	217.95	261.68	147.53	171.31	92.93	137.72	67.48	556	1009	1124.96	7849.97	259	224
ENSG00000007171.17	0.13	0.39	0.22	0.07	0	0	0	0	0.04	0.13	0	1	0	6	0	1
ENSG00000007174.18	5.07	2.52	9.8	3.06	0	0	0	5.49	1.37	3.41	14	16	2	44	20	5
ENSG00000007202.15	68.94	42	57.33	51.23	17.35	49.66	49.1	11.06	12.26	10.64	52	270.83	235.55	154.37	14	15
ENSG00000007216.14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000007237.18	2.33	3	4.25	7.78	0.84	2.41	5.1	23.61	51.33	18.88	8	49	36	35	2	18
ENSG00000007255.10	0	0.31	1.73	1.12	0	1.06	0	0	1.26	0	6	11	20	63	7	0
ENSG00000007264.15	0	0	0	0	0	0.29	1.68	0	0	0	8	111	31	0	24	9
ENSG00000007306.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312.12	0	0	0	0	0	0	0.21	0	0	0	0	0	1	1	11	4
ENSG00000007314.12	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
ENSG00000007341.19	28.99	34.14	32.32	27.8	52.98	35.67	22.39	14.74	13.58	19.51	8	27.36	3	42.16	32.4	0
ENSG00000007350.17	1.09	0.33	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000007372.23	179.76	90.24	233.5	143.56	0.22	0.2	0.67	0.4	1.26	2.12	2.7	8.09	5.61	0	6	0
ENSG00000007376.8	0.49	0.19	0	0	0	0	0	0	0	0	12	58	45	0	20	3
ENSG00000007384.15	12.08	7.32	8.23	5.85	0	0	0	0.79	0.42	0	0	0	1	3	0	0
ENSG00000007392.16	56.01	82.81	124.34	113.88	45.08	17.66	31.68	25.25	18.98	37.18	39	148	161	93	67	18
ENSG00000007402.11	2.58	2.43	3.01	1.25	0	0.15	0.31	1.21	0	1.22	67	231	287	49	7	20
ENSG00000007516.13	0.8	1.08	0.53	0.08	0	0	0	0	0	0	11.52	26.05	7.2	0	0	0
ENSG00000007520.4	4.74	3.29	4.44	0.19	0	0	0.4	0	0.6	0.41	46.48	146.95	147.8	86	50	0
ENSG00000007541.16	3.62	2.92	3.38	0.78	0	0	0	0	0.29	0	22	80	208	5	8	11
ENSG00000007545.15	1.93	1.56	4.32	1.93	0.5	1.53	2.24	1.44	0.92	1.09	6	42	20	35.92	1	0
ENSG00000007866.21	1.17	0.55	0.61	0.64	0	0	0	0	0	0.55	0	0	0	0	0	0
ENSG00000007908.16	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923.16	13.35	7.57	9.6	9.46	8.61	7.73	10.29	19.74	5.1	8.69	24.94	122.2	130.1	411	0	14.11
ENSG00000007933.13	0	0	0	0	0	0	0	0.91	0	0	0	1	0	0	1	0
ENSG00000007944.15	0.49	1.89	5.35	4.02	60.25	25.32	34.53	5.31	17.41	8.17	87	143	221	90	0	10
ENSG00000007952.18	0.8	0	0.62	0	0	0	0.09	0.51	0	0	0	9	7	2	0	0
ENSG00000007968.7	0	0	0	0.21	0	0	0	0.11	0	0	0	0	0	0	0	0
ENSG00000008018.9	24.39	36.97	51.11	35.87	50.37	59.06	64.01	31.31	69.55	40.82	161	223	133	236	184	120
ENSG00000008056.14	9.46	5.62	6.52	4.74	3.65	2.32	1.14	17.51	1.82	26.75	321	825	743	1580	154	416
ENSG00000008083.14	9.25	22.44	19.47	12.82	10.13	7.87	6.99	4.38	3.71	3.31	19	112	107	43	16	35
ENSG00000008086.11	15.77	25.67	37.31	29.82	11.62	7.08	5.88	10.36	16.27	22.4	12	64	15	428	1	36
ENSG00000008118.10	0	0.4	1.6	0.96	0	0.28	0	0	0.33	2.22	67	63	104	57	21	40
ENSG00000008128.23	0.93	8.18	20.15	8.06	8.7	8.79	2.65	5.28	4.03	1.32	30.56	48.83	35.12	32.2	3.77	12
ENSG00000008130.15	6.35	4.46	4.11	3.14	1.29	1.54	1.8	0.97	1.45	1.41	31	104	101	5	6	2
ENSG00000008196.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226.19	1.74	1.12	1.23	2.41	43.86	0.73	1.05	0.81	0.11	0	0	5.56	13.41	0	0	0
ENSG00000008256.16	3.66	2.08	3.51	1.68	6.76	5.95	13.97	1.19	0.66	1.43	12	41	49	52	7	31
ENSG00000008277.14	5.04	6.6	12.78	12.99	2.25	1.16	1.32	5.85	16.63	18.99	91	282	274	2819	53	34
ENSG00000008282.8	40.15	41.66	39.6	28.24	21.64	14.7	14.51	6.74	28.34	15.34	16	19	6	103	0	6
ENSG00000008283.16	2.41	1.74	1.77	1.86	0.34	0.81	0.74	1.24	0.16	0.15	143	425	397	52	6	5
ENSG00000008294.21	103.42	188.5	232.84	291.18	231.49	119.77	107.28	75.05	122.69	102.24	180	350	300	1726	59	174
ENSG00000008300.17	0.09	0.22	0.18	0.23	0	0.1	0.18	0.34	0.31	0.14	35	173	167	14	1	63
ENSG00000008311.15	22.39	58.46	52.64	78.34	22.16	9.09	9.84	11.17	17.89	13.28	10	50	23	31	4	1
ENSG00000008323.15	0	0	0	0	0	0	0.16	0	0	0	0	2	0	0	0	0
ENSG00000008324.11	20.79	15.32	67.76	35.83	26.33	23	35.29	17.09	30.76	19.58	42	77	68	104	35	3
ENSG00000008382.15	1.1	0.46	0.46	0.57	0	0.41	2.86	0	0.12	0	12	15	53	1	0	12
ENSG00000008394.13	141.66	258.15	297.12	161.84	0	0.38	1.95	1.23	2.02	7.33	10	42	22	181	4	1
ENSG00000008405.12	8.35	6.5	13.03	18.06	35.17	12.21	15.57	5.57	5.18	13.06	12	35	12	5	24	0
ENSG00000008438.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441.16	64.46	42.07	59.89	32.95	0	1.75	1.23	3.68	14.91	6.74	2	20	3	34	3	4
ENSG00000008513.16	6.53	4.01	17.65	10.52	49.44	19.53	33.62	7.84	1.75	0.66	96	370	330	331	83	33
ENSG00000008516.17	0	0	0	0	0	0.05	0.17	0	0	0	1	0	2	10	1	0
